,Country,AverageTemperature,1,2,3,4,5,6,7,8,9,10,11,12
48,Comoros,26.392466431095414,27.69191304347826,27.80620833333334,27.87654166666667,27.407958333333337,26.650125000000006,25.399416666666667,24.57337500000001,24.4355,24.831826086956525,25.61204347826087,26.965999999999998,27.484695652173908
49,Congo,25.012908127208497,25.020869565217396,25.792708333333334,26.17879166666667,25.886041666666667,25.66616666666667,24.44854166666667,23.803291666666667,24.20725,24.66508695652174,24.707521739130435,24.95182608695652,24.788
50,Congo (Democratic Republic Of The),24.38478091872792,24.22547826086956,24.853583333333336,25.07308333333333,24.820791666666665,24.748375,23.931833333333334,23.479375000000005,24.175791666666658,24.591565217391302,24.383826086956514,24.327086956521736,23.98965217391304
51,Costa Rica,26.33961971830983,25.86491304347826,26.532833333333333,27.198166666666662,27.461999999999993,27.01866666666667,26.507,26.371,26.314666666666668,26.068624999999997,25.5504347826087,25.5144347826087,25.552869565217385
52,Croatia,12.41376678445231,2.064217391304348,3.35875,7.593125000000001,11.816375,17.024625,20.704125,22.811208333333337,22.57370833333333,17.447347826086958,12.507826086956522,7.56786956521739,2.670565217391305
53,Cuba,26.103651408450723,23.351173913043475,23.776500000000002,24.465666666666664,25.50029166666667,26.69854166666667,27.778833333333335,28.28804166666667,28.40416666666667,27.980249999999998,27.045347826086957,25.608086956521742,24.170260869565215
54,Curaçao,28.051000000000002,26.598347826086957,26.60191666666667,26.972916666666674,27.536791666666673,28.586333333333332,28.959958333333336,28.89129166666667,29.30854166666668,29.353608695652177,28.655565217391313,28.051478260869565,27.073478260869578
55,Cyprus,19.665798586572443,11.905608695652175,11.950416666666664,14.040750000000001,17.153125,21.245166666666666,25.057333333333332,27.5655,27.96225,25.600521739130436,22.190130434782606,17.432695652173912,13.568086956521741
56,Czech Republic,8.743727915194349,-1.233913043478261,-0.05241666666666663,3.7319166666666663,8.702916666666667,13.749791666666669,16.79066666666667,18.746791666666667,18.51995833333333,13.658956521739134,8.492739130434783,3.693782608695652,-0.7018260869565217
57,Côte D'Ivoire,26.659183745583036,26.348434782608695,28.091958333333334,28.728499999999997,28.13095833333334,27.53695833333334,26.314041666666668,25.344375,25.061624999999996,25.470217391304345,26.040173913043482,26.607217391304356,26.12295652173913
58,Denmark,-16.892971731448768,-28.83734782608696,-28.740083333333335,-27.45408333333334,-20.549833333333336,-10.765166666666666,-3.4892916666666665,-0.6651666666666667,-3.045291666666666,-9.866434782608694,-18.71813043478261,-24.18086956521739,-27.427521739130444
59,Denmark (Europe),8.938049469964666,1.4877391304347825,1.6032083333333331,3.5382916666666673,7.406250000000001,11.923,14.95675,17.51879166666667,17.4705,13.967304347826087,9.349565217391303,5.386652173913044,2.133304347826087
60,Djibouti,29.554805653710247,25.092826086956528,26.29179166666667,28.032666666666668,29.408416666666668,31.29712500000001,32.969625,34.0195,33.627250000000004,31.961521739130436,28.945347826086955,27.098391304347828,25.532217391304346
61,Dominica,26.91033215547703,25.41113043478261,25.329333333333334,25.761708333333335,26.376,27.473458333333337,27.998500000000003,28.031583333333334,28.167875000000006,27.99782608695652,27.472869565217394,26.934608695652177,25.935782608695657
62,Dominican Republic,26.323052816901416,24.360782608695647,24.596958333333337,25.157583333333346,25.655666666666665,26.567416666666663,27.48675,27.849458333333335,28.04725000000001,27.722958333333327,27.057521739130433,26.245,25.020608695652175
63,Ecuador,22.474593639575964,22.772304347826093,22.874000000000006,23.010166666666663,22.879708333333337,22.800749999999997,22.20083333333334,21.738916666666668,21.8505,22.197565217391308,22.258913043478266,22.496956521739133,22.613086956521737
