,Country,"Population, total (millions)",Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)",Gross domestic product (GDP) per capita (2011 PPP $),Mobile phone subscriptions (per 100 people)
35,China,1427.6,0.649,0.758,76.7,0.7120341832446063,0.10920425889604933,0.06017091622303167,59.2,4.4,16187,115
36,Colombia,49.7,0.683,0.761,77.1,0.6841046277665995,0.08450704225352113,0.0744466800804829,80.8,9.1,13333,129.9
37,Comoros,0.8,0.476,0.538,64.1,0.625,0.0,0.125,29.0,3.7,2514,59.9
38,Congo,5.2,0.539,0.609,64.3,0.5576923076923077,0.019230769230769232,0.15384615384615385,66.9,10.4,5024,
39,Congo (Democratic Republic of the),84.1,0.495,0.459,60.4,0.5077288941736029,0.02972651605231867,0.1807372175980975,44.5,4.2,827,43.4
40,Costa Rica,5.0,0.716,0.794,80.1,0.7,0.1,0.08,79.3,8.1,15685,169.9
41,Croatia,4.2,0.796,0.837,78.3,0.6428571428571429,0.19047619047619047,0.047619047619047616,56.9,8.9,23637,105.6
42,Cuba,11.3,0.791,0.778,78.7,0.6902654867256637,0.15044247787610618,0.053097345132743355,77.0,2.3,,47.4
43,Cyprus,1.2,0.811,0.873,80.8,0.6666666666666667,0.16666666666666669,0.08333333333333334,66.8,8.1,33048,100.9
44,Czechia,10.7,0.892,0.891,79.2,0.6448598130841122,0.19626168224299068,0.04672897196261683,73.8,2.4,33414,119.2
45,CÃ´te d'Ivoire,25.1,0.441,0.516,57.4,0.549800796812749,0.02788844621513944,0.1593625498007968,50.8,2.5,3733,134.9
46,Denmark,5.8,0.920,0.930,80.8,0.6379310344827587,0.18965517241379312,0.05172413793103448,87.9,5.0,47673,125.1
47,Djibouti,1.0,0.313,0.495,66.6,0.6,0.0,0.1,77.8,11.1,,41.2
48,Dominica,0.1,0.620,0.724,78.1,,,,70.5,,9467,105.8
49,Dominican Republic,10.6,0.657,0.745,73.9,0.6509433962264152,0.07547169811320756,0.09433962264150944,81.1,5.8,15821,84.1
50,Ecuador,17.1,0.714,0.758,76.8,0.6491228070175438,0.07017543859649122,0.09941520467836257,63.8,3.9,10412,92.3
51,Egypt,98.4,0.608,0.700,71.8,0.6097560975609756,0.05182926829268292,0.13211382113821138,42.7,11.4,11014,95.3
52,El Salvador,6.4,0.566,0.667,73.1,0.6406249999999999,0.078125,0.09374999999999999,72.0,4.4,7393,146.9
53,Equatorial Guinea,1.3,0.441,0.588,58.4,0.6153846153846154,0.0,0.15384615384615385,72.1,9.2,20865,45.2
54,Eritrea,3.5,0.269,0.434,65.9,0.5428571428571428,0.05714285714285715,0.14285714285714285,40.1,6.5,,
55,Estonia,1.3,0.881,0.882,78.6,0.6153846153846154,0.23076923076923075,0.07692307692307693,68.9,5.5,30991,145.4
56,Eswatini (Kingdom of),1.1,0.541,0.608,59.4,0.6363636363636362,0.0,0.09090909090909091,23.8,22.5,9530,
57,Ethiopia,109.2,0.335,0.470,66.2,0.5576923076923077,0.03479853479853479,0.14926739926739926,20.8,1.8,1794,
58,Fiji,0.9,0.764,0.724,67.3,0.6666666666666666,0.0,0.11111111111111112,56.2,4.2,9781,
59,Finland,5.5,0.915,0.925,81.7,0.6181818181818182,0.21818181818181817,0.05454545454545454,85.4,7.8,41899,132.2
60,France,65.0,0.811,0.891,82.5,0.62,0.2,0.05692307692307692,80.4,9.2,39556,108.4
61,Gabon,2.1,0.636,0.702,66.2,0.6190476190476191,0.047619047619047616,0.14285714285714285,89.4,19.5,15922,138.3
62,Gambia,2.3,0.386,0.466,61.7,0.5217391304347826,0.04347826086956522,0.1739130434782609,61.3,8.9,1517,139.5
63,Georgia,4.0,0.856,0.786,73.6,0.65,0.15,0.075,58.6,14.1,10152,133.4
64,Germany,83.1,0.946,0.939,81.2,0.6498194945848376,0.21419975932611313,0.04693140794223827,77.3,3.4,45959,129.3
65,Ghana,29.8,0.559,0.596,63.8,0.5939597315436241,0.030201342281879196,0.13758389261744966,56.1,6.7,4212,137.5
66,Greece,10.5,0.833,0.872,82.1,0.6476190476190476,0.21904761904761902,0.0380952380952381,79.1,19.2,25141,115.7
67,Grenada,0.1,0.755,0.763,72.4,1.0,0.0,0.0,36.3,,13970,
68,Guatemala,17.2,0.511,0.651,74.1,0.6104651162790697,0.04651162790697675,0.11627906976744186,51.1,2.7,7509,118.7
69,Guinea,12.4,0.340,0.466,61.2,0.532258064516129,0.03225806451612903,0.16129032258064516,36.1,3.6,2338,96.1
70,Guinea-Bissau,1.9,0.402,0.461,58.0,0.5263157894736842,0.052631578947368425,0.15789473684210525,43.4,4.1,1596,79
71,Guyana,0.8,0.601,0.670,69.8,0.625,0.125,0.125,26.6,12.2,7617,
72,Haiti,11.1,0.445,0.503,63.7,0.6216216216216217,0.05405405405405406,0.11711711711711713,55.3,13.5,1656,57.5
73,Honduras,9.6,0.503,0.623,75.1,0.6354166666666666,0.052083333333333336,0.10416666666666667,57.1,4.1,4560,79.2
74,"Hong Kong, China (SAR)",7.4,0.860,0.939,84.7,0.7162162162162161,0.16216216216216214,0.040540540540540536,100.0,2.8,57322,259.4
75,Hungary,9.7,0.816,0.845,76.7,0.6597938144329898,0.1958762886597938,0.04123711340206186,71.4,3.7,28243,103.4
76,Iceland,0.3,0.918,0.938,82.9,0.6666666666666667,0.33333333333333337,0.0,93.8,2.9,48606,126.1
77,India,1352.6,0.558,0.647,69.4,0.667677066390655,0.06180689043323968,0.08605648380896053,34.0,2.6,6899,86.9
78,Indonesia,267.7,0.625,0.707,71.5,0.6757564437803512,0.05864774000747105,0.09114680612626073,55.3,4.3,11606,119.8
79,Iran (Islamic Republic of),81.8,0.743,0.797,76.5,0.6931540342298289,0.062347188264058676,0.09046454767726163,74.9,12.0,19098,108.5
80,Iraq,38.4,0.554,0.689,70.5,0.5833333333333334,0.03385416666666667,0.14062500000000003,70.5,7.9,15565,94.9
81,Ireland,4.8,0.918,0.942,82.1,0.6458333333333334,0.14583333333333334,0.0625,63.2,5.7,70361,103.2
82,Israel,8.4,0.876,0.906,82.8,0.5952380952380952,0.11904761904761904,0.09523809523809523,92.4,4.0,33661,127.7
83,Italy,60.6,0.793,0.883,83.4,0.6402640264026402,0.22772277227722773,0.039603960396039604,70.4,10.2,35739,137.5
84,Jamaica,2.9,0.692,0.726,74.4,0.6896551724137931,0.10344827586206896,0.06896551724137931,55.7,9.5,8266,101
