area_name;area_code;area_group;Economic Quality;Education;Governance;Health;Investment Environment;Living Conditions;Market Access and Infrastructure;Natural Environment;Personal Freedom;Safety and Security;Social Capital
Qatar;QAT;Middle East and North Africa;68,3;66,7;55,8;76,1;63,3;86,4;69,9;51,9;33,7;89,8;61,2
Romania;ROU;Eastern Europe;60,8;68,5;59,1;73,0;68,1;79,8;61,4;58,7;60,9;81,0;46,8
Russia;RUS;Eastern Europe;59,7;83,5;45,6;68,3;55,8;81,3;53,5;60,4;31,7;49,9;47,9
Rwanda;RWA;Sub-Saharan Africa;47,4;42,1;53,6;67,5;65,6;43,0;41,5;53,8;41,5;61,8;51,6
Saudi Arabia;SAU;Middle East and North Africa;54,7;66,3;47,8;73,3;58,4;81,1;62,0;47,4;20,7;62,1;55,1
Senegal;SEN;Sub-Saharan Africa;39,9;33,8;54,5;61,0;43,0;57,0;34,9;53,4;60,4;66,8;53,8
Serbia;SRB;Eastern Europe;49,9;74,5;51,3;73,0;57,2;84,4;57,1;53,6;55,7;80,1;48,5
Seychelles;SYC;Sub-Saharan Africa;59,2;66,3;56,4;77,9;60,1;78,4;60,3;58,6;59,6;76,5;56,9
Sierra Leone;SLE;Sub-Saharan Africa;28,0;29,4;42,0;42,2;35,3;36,0;23,4;55,4;53,6;66,8;54,0
Singapore;SGP;Asia-Pacific;79,7;90,7;75,3;86,6;87,7;95,6;84,8;54,7;52,0;92,0;63,7
Slovakia;SVK;Eastern Europe;64,7;73,6;62,5;77,1;70,6;89,6;64,8;69,7;69,9;86,0;50,9
Slovenia;SVN;Eastern Europe;65,1;82,8;67,6;79,2;66,1;91,9;70,6;73,8;74,5;87,7;56,4
Somalia;SOM;Sub-Saharan Africa;27,2;24,9;24,9;44,2;28,2;40,8;19,4;50,6;28,3;40,8;47,2
South Africa;ZAF;Sub-Saharan Africa;50,2;52,1;58,5;57,8;57,9;65,2;50,3;47,5;69,1;53,2;54,7
South Korea;KOR;Asia-Pacific;73,4;89,4;70,3;84,2;76,8;91,6;73,7;57,2;64,4;82,2;42,5
South Sudan;SSD;Sub-Saharan Africa;28,3;15,2;27,4;34,0;32,4;27,8;25,9;54,5;19,5;19,2;35,7
Spain;ESP;Western Europe;58,3;82,9;73,8;82,1;72,6;94,4;73,0;60,7;82,6;83,4;58,6
Sri Lanka;LKA;Asia-Pacific;42,1;66,5;50,7;75,5;49,0;67,0;45,8;59,1;54,4;59,4;60,0
Sudan;SDN;Sub-Saharan Africa;26,7;33,6;28,9;57,9;40,5;45,4;29,8;44,0;16,0;30,8;43,4
Suriname;SUR;Latin America and the Caribbean;43,3;54,1;48,2;67,0;37,7;77,1;46,5;66,9;63,4;75,9;52,0
Sweden;SWE;Western Europe;75,4;84,4;88,1;82,0;79,2;96,8;79,1;77,5;89,9;91,4;70,6
Switzerland;CHE;Western Europe;79,6;85,7;87,3;84,2;78,7;96,4;78,1;73,2;86,0;94,0;72,4
Syria;SYR;Middle East and North Africa;39,4;41,9;25,4;65,9;37,2;67,7;38,7;41,8;12,5;25,5;22,3
São Tomé and Príncipe;STP;Sub-Saharan Africa;45,9;51,1;49,6;67,8;40,8;58,3;38,1;58,8;65,1;81,6;52,5
Taiwan;TWN;Asia-Pacific;67,7;81,6;76,0;79,4;77,6;86,9;70,6;55,2;74,6;91,7;54,2
Tajikistan;TJK;Asia-Pacific;34,0;60,6;37,1;72,6;44,7;66,9;33,4;48,6;28,6;69,7;59,0
Tanzania;TZA;Sub-Saharan Africa;41,0;38,2;46,5;60,7;44,1;47,0;33,4;57,9;45,8;64,4;48,0
Thailand;THA;Asia-Pacific;65,2;63,6;44,6;78,7;61,0;77,0;59,9;52,0;39,9;57,3;59,0
The Gambia;GMB;Sub-Saharan Africa;29,9;37,5;43,7;53,7;44,4;51,5;31,6;55,4;43,8;69,6;55,2
Togo;TGO;Sub-Saharan Africa;40,4;37,6;38,2;51,9;36,5;45,7;26,0;47,9;44,7;64,9;34,0
Trinidad and Tobago;TTO;Latin America and the Caribbean;51,9;66,2;55,4;72,4;55,0;82,6;53,8;51,1;68,1;72,3;51,1
Tunisia;TUN;Middle East and North Africa;42,4;57,8;53,3;70,4;50,9;76,7;49,9;46,5;53,4;61,6;42,6
Turkey;TUR;Middle East and North Africa;51,4;63,6;43,8;74,0;62,6;82,5;58,9;52,1;30,1;43,0;42,0
Turkmenistan;TKM;Asia-Pacific;52,9;64,3;31,7;74,6;52,8;74,6;39,7;40,4;18,6;70,8;56,4
Uganda;UGA;Sub-Saharan Africa;37,9;36,6;42,0;54,0;53,9;43,2;30,7;50,0;40,8;54,9;43,1
Ukraine;UKR;Eastern Europe;42,9;77,5;48,6;64,8;45,6;77,8;48,4;49,6;53,7;46,2;41,9
United Arab Emirates;ARE;Middle East and North Africa;68,9;72,7;59,8;76,1;71,9;86,9;74,2;49,2;33,0;77,2;61,9
United Kingdom;GBR;Western Europe;70,9;84,9;84,6;80,5;82,1;95,8;77,7;66,4;84,5;89,6;66,6
United States;USA;North America;69,8;85,0;79,0;74,9;80,4;90,4;79,0;66,1;78,7;74,4;65,8
Uruguay;URY;Latin America and the Caribbean;50,8;69,5;70,4;78,9;65,3;84,7;58,7;59,2;82,4;80,6;52,9
Uzbekistan;UZB;Asia-Pacific;52,1;63,3;33,9;77,3;53,2;67,8;43,0;41,4;29,7;73,3;61,6
Venezuela;VEN;Latin America and the Caribbean;24,5;58,6;18,0;72,5;31,1;69,8;34,7;57,6;36,0;45,5;43,9
Vietnam;VNM;Asia-Pacific;54,5;64,5;43,5;77,3;46,1;73,5;53,3;54,6;32,9;68,2;58,3
Yemen;YEM;Middle East and North Africa;19,9;26,6;24,7;51,5;29,1;44,0;20,7;44,6;16,7;25,2;38,4
Zambia;ZMB;Sub-Saharan Africa;32,1;42,8;46,3;59,5;46,5;43,2;28,8;61,6;46,2;69,6;50,7
Zimbabwe;ZWE;Sub-Saharan Africa;34,4;46,1;31,7;57,5;34,9;50,2;26,9;49,5;37,1;66,3;47,1
